School,Basic Info,,,,Interview Info,,,,Decision Communication,,,Scholarship Info,,,
,USN Rank,Status Checker?,Status Checker General Flow,General Timeline Notes,Interview Available?,Interview Required for Admission?,Interview Notification,Interview Notes,Admit,Waitlist,Deny,Merit Aid Available?,Merit Aid Notes,Need-Based Aid Available?,"Need-Based Aid Notes
"
Yale,1,No,N/A,,No,N/A,N/A,N/A,Phone call,Email,Email,No,N/A,Yes,
Stanford,2,Yes,Incomplete > Submitted for Review > Decision Letter Sent,,No,N/A,N/A,N/A,Phone call (650),"Snail mail, can call admissions office after DLS
","Snail mail, can call admissions office after DLS
",No,N/A,Yes,
"Harvard
",3,Yes,Received > Complete > Interview Complete > Decision,https://hls.harvard.edu/2020-vision-announcing-dates-for-the-upcoming-cycle/,"Yes, invitation only",Yes,"Email with link with subject ""Harvard Law School Interview Invitation""",,Phone call (617),"Email notification of status update, pdf letter","Email notification of status update, pdf letter",No,N/A,Yes,
Chicago,4,Yes,"Incomplete > Complete > Under Review > [Invited for Interview] > [Interview Scheduled] > Under Review *date changes multiple times* > Decision 
",Interview invites have been recieved post UR2,"Yes, invitation only",No,"Email with subject: ""University of Chicago Law School Invitation to Interview""",,"Email, status checker",Email,Email,Yes," Usually awarded starting in late Feb, Ruby calls historically early Feb",,
Columbia,5,Yes,Completion pending > Complete,"Status checker does not update beyond 'Complete'

Status checker says that all decisions will be communicated mail","Yes, invitation only (mainly for borderline numbers, and scholarships)",No,"Email with link with subject ""Columbia Law School: Invitation to Interview""","20-30 min Skype call with ad officer. be prepared to answer ""why Columbia, why law"". and prep lots of questions",Email,Email,Snail mail,Yes,Hamilton/Butler comes with acceptance email; rest of aid in April,,
NYU,6,Yes,Application being processed > Under Review (UR1) > Under Review *date change* (UR2 - optional but very common) > Decision Letter Sent,"DLS update usually happens between 9am and 10am

https://its.law.nyu.edu/admitted/login/login.cfm?returnLink=https%3A%2F%2Fwww%2Elaw%2Enyu%2Eedu%2Fadmittedstudents&appName=Admitted&dest=/drupal/authenticate/index.cfm"",""Admitted Students Website",No,N/A,"N/A
",N/A,"Phone call, can check the Admitted Student Website (can take until 4 or 5 EST)",Email,Email,Yes,Said they’ll send decision within 2 weeks of filling out aid application (though may be delayed if applying to named scholarships); Vandys probably late Feb; RTK interview invites by mid-March,,
Penn,7,Yes,Complete > Under Committee Review (UR1) > Under Committee Review *date change* (UR2) > Decision,"Has started reviewing first cohort of applications as of 11/18/19
All apps get reviewed by at least 2 admissions officers (hence the 2 UR dates)

Decisions released by waves/cohorts. Groups of people that applied around similar dates will hear at the same time","Yes - new this cycle for ED applicants, no data on how many, importance, etc.",No,N/A,N/A,"Phone call (215), followed by email","Status checker, email with subject ""Waitlist Invitation from Penn Law""","Status checker, email",Yes,"March, Levy in late Feb/early March",,
UVA,8,Yes,Incomplete > Complete > Review Pending > Under Review > (Under Review date change optional) > Decision,"There is no method to their madness

General time between interview > acceptance is either at end of interview or the next day","Yes (Skype or call), invitation only",Yes*,"Email from interviewer with subject ""Virginia Law""","15 minute phone or Skype call - expect to answer Why UVA, Why law, questions about your application

Lots of time given for you to ask questions so be sure to prep some!

*UVA counts in-person interactions with ad-coms (such as at a visit or LSAC Forum) as an interview","Status checker, email from interviewer, Dean Faulk at end of interview",Email with the subject Virginia Law Admissions,,Yes,"Said they’ll release scholarship info, including Dillards, by late February through the SIS student portal",,
Michigan,9,Yes,Incomplete > Complete (updates with date daily) > Decision,"Status checker date updates daily, early in the morning",No,N/A,N/A,N/A,"Status checker, email from Dean Z with subject ""University of Michigan Law School: Congratulations""","Email with subject line ""University of Michigan Law School: Waitlist Invitation""","Status checker, snail mail letter
",Yes,Automatically considered for merit aid. Should have scholarship information by mid-January,Yes,"In early March, fill out questionnaire on Admitted Students website.

Must file FAFSA and CSS Profile
No parent info required

Already started releasing aid decisions; Darrow interviews started in mid Jan & they said candidates will hear back within 3 weeks of their interview"
Duke,10,Yes,"Priority Track: Incomplete > Complete > Under Review > Under Review *date change* > Decision made, watch for email

Regular: Incomplete > Complete > Submitted/Ready for Review > Under Review > Under Review *date change* > Decision made, watch for email",PT decisions are rarely made before the 8th day (but as of early December this may be changing),No,N/A,N/A,N/A,"Email with subject line ""Welcome to Duke""","Email with subject line ""Duke Law School Application Status""",,Yes,Scholarship application gets sent out in December. There is an interview component,"Yes (scholarship app gives the option of being considered for merit AND need-based aid, or just merit aid)",Scholarships start mid feb via snail mail
Northwestern,10,Yes,Incomplete > Complete > Decision Letter Available within 24 Hours,"You can request an in interview in person or on campus until a certain date. You have the option to complete a Kira interview. If you apply ED, you must complete the Kira within 15 days of applying.

You will find out about your decision via a decision letter that you access through a separate website. The status checker will tell you when that letter is available.

*Website says that app review will begin in December","Yes (Kira, in person)",No (but 97% of entering class does),"Kira invite via email, email link to check interview portal (in-person)","6 questions, all verbal
Examples: 
1. Why Northwestern?
2. What is an attribute you want the committee to know about you?
3. Describe the hardest news you have ever had to deliver
4. We have all been accused of something we didn't do how did you handle it?","Status checker will show deposit line under fees, decision letter from DLDS",Decision letter from DLDS,Decision letter from DLDS,Yes,Separate application on admitted students website,,
UC Berkeley,10,Yes,Incomplete > Complete > Under Review (date may change but there is no discernable pattern) > Decision,"
",No,N/A,N/A,N/A,"Phone call, email, status checker","Email, status checker","Email, status checker",Yes,Per website gift-aid offers are made via email before march 30th.(https://www.law.berkeley.edu/admissions/jd/financial-aid/types-of-aid/scholarships/entering-student-scholarships/),"to be considered, students should submit Supplemental Gift Aid app within a month of admission. many awards are based on a combination of need and merit.
(https://www.law.berkeley.edu/admissions/jd/financial-aid/types-of-aid/scholarships/entering-student-scholarships/ header: does berkeley law offer need-based aid?)",Starting March/April
Cornell,13,Yes,Complete > Ready for Review > Ready for Review *date change* > Interview Requested > Ready for Review,,Yes,,,"invitation only, Kira interview",Phone call,Email,"Email - ""Cornell Law School Application Decision""",Yes,,,RD applicants notified after March 1
Georgetown,14,Yes,"Complete > no further updates

Sometimes a date will appear and change, only to disappear again. Sometimes you'll never see a date. Life is a mystery.","Status checker changes between ""Complete,"" ""Completed,"" ""Application Completed,"" etc. don't seem to mean anything at all.

Generally 3-5 weeks after interviews","Yes, by invite (group, alum)","No, about half of this year's class participate in group interviews",Email,"Dean Cornblatt said about half of the entering class participated in group interviews. However, that doesn't necessarily scale to half of the admitted students. This year he'll be doing group interviews with about 2,000 out of an expected 11,000 applicants.","Snail mail (envelope is small)

Status checker displays Georgetown email as secondary email address as well as a school tracking number",Email,Email,Yes,Not sent with decision,Yes. Complete FAFSA and CSS Profile.,Starting early Feb
UCLA,15,Yes,Received > Complete & Under Review > Decision,,Yes (by invitation),No,Email,For borderline candidates?,"Phone Call from Dean Schwartz + Status Checker updates to ""Congratulations on your admission to UCLA""",Email: UCLA School of Law,Email: UCLA School of Law,Yes,,,
U. Texas (Austin),16,Yes,Complete > Application in Review > Decision,Status checker does not have date changes!,"Yes (Kira), invitation only",No,Email,"3 video questions, one written. Written question is usually, but not always, Why UT. Video questions allow 60 seconds to prepare and 90 seconds to respond.","Call from Dean Le, followed by email. Just email for international applicants",,Email w/ subject 'Texas Law - Application Decision',Yes,"Application opens January 1; 2 week window to respond, 2+ weeks until awards are made(new process as of 19-20 cycle, per Dean Le), Can negoiate via an online form (available 2/1, review starts mid March) but any increased award is conditional on submitting deposit/letter of intent within 5-10 days.",,
